Country;Date;TestNo;reference URL;publisher;publication date;archived URL;retrieved;Notes
Czech Republic;22/03/2020;17377;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;21/03/2020;15584;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;20/03/2020;13704;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;19/03/2020;11619;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;18/03/2020;9402;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;17/03/2020;7664;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;16/03/2020;6302;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;15/03/2020;5068;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;14/03/2020;4065;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;13/03/2020;3094;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;12/03/2020;2353;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;11/03/2020;1816;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;10/03/2020;1358;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;09/03/2020;1193;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;08/03/2020;928;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;07/03/2020;787;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;06/03/2020;594;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;05/03/2020;483;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;04/03/2020;407;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;03/03/2020;340;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;02/03/2020;262;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;01/03/2020;221;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;29/02/2020;200;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;28/02/2020;193;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;27/02/2020;170;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;26/02/2020;135;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;25/02/2020;112;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;24/02/2020;98;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;23/02/2020;86;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;22/02/2020;83;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
Czech Republic;21/02/2020;82;https://onemocneni-aktualne.mzcr.cz/covid-19;Ministerstvo zdravotnictví;23/03/2020;;;
