Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
Estonia,23/03/2020,3724,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,22/03/2020,3229,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,21/03/2020,2812,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,20/03/2020,2504,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,19/03/2020,2259,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,18/03/2020,2020,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,17/03/2020,1625,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,16/03/2020,1387,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,15/03/2020,1133,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,14/03/2020,971,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,13/03/2020,843,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,12/03/2020,584,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,11/03/2020,464,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,10/03/2020,419,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,09/03/2020,350,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,08/03/2020,311,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,07/03/2020,293,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,06/03/2020,242,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,05/03/2020,184,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,04/03/2020,143,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,03/03/2020,100,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,02/03/2020,74,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,01/03/2020,53,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,29/02/2020,38,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,28/02/2020,29,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,27/02/2020,17,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
Estonia,26/02/2020,6,https://www.terviseamet.ee/et/koroonaviirus/koroonakaart,Terviseamet,23/03/2020,,,
