Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
Hungary,23/03/2020,5515,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,23/03/2020,,,
Hungary,21/03/2020,3447,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,21/03/2020,https://web.archive.org/web/20200321121615/https://koronavirus.gov.hu/,23/03/2020,
Hungary,20/03/2020,3007,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,20/03/2020,https://web.archive.org/web/20200320121505/https://koronavirus.gov.hu/,23/03/2020,
Hungary,19/03/2020,2322,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,19/03/2020,https://web.archive.org/web/20200319081505/https://koronavirus.gov.hu/,23/03/2020,
Hungary,18/03/2020,1803,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,18/03/2020,https://web.archive.org/web/20200318081114/https://koronavirus.gov.hu/,23/03/2020,
Hungary,17/03/2020,1587,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,17/03/2020,https://web.archive.org/web/20200317063953/https://koronavirus.gov.hu/,23/03/2020,
Hungary,16/03/2020,1436,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,16/03/2020,https://web.archive.org/web/20200316081505/https://koronavirus.gov.hu/,23/03/2020,
Hungary,15/03/2020,1236,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,15/03/2020,https://web.archive.org/web/20200316041505/https://koronavirus.gov.hu/,23/03/2020,
Hungary,14/03/2020,1014,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,14/03/2020,https://web.archive.org/web/20200315041505/https://koronavirus.gov.hu/,23/03/2020,
Hungary,13/03/2020,858,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,13/03/2020,https://web.archive.org/web/20200314041252/https://koronavirus.gov.hu/,23/03/2020,
Hungary,12/03/2020,730,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,12/03/2020,https://web.archive.org/web/20200313041151/https://koronavirus.gov.hu/,23/03/2020,
Hungary,11/03/2020,609,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,11/03/2020,https://web.archive.org/web/20200312052941/https://koronavirus.gov.hu/,23/03/2020,
Hungary,10/03/2020,531,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,10/03/2020,https://web.archive.org/web/20200310171146/https://koronavirus.gov.hu/,23/03/2020,
Hungary,09/03/2020,362,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,09/03/2020,https://web.archive.org/web/20200309202614/https://koronavirus.gov.hu/,23/03/2020,
Hungary,08/03/2020,362,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,08/03/2020,https://web.archive.org/web/20200309023924/https://koronavirus.gov.hu/,23/03/2020,
Hungary,07/03/2020,319,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,07/03/2020,https://web.archive.org/web/20200307154904/https://koronavirus.gov.hu/,23/03/2020,
Hungary,06/03/2020,269,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,06/03/2020,https://web.archive.org/web/20200307082417/https://koronavirus.gov.hu/,23/03/2020,
Hungary,05/03/2020,230,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,05/03/2020,https://web.archive.org/web/20200305213330/https://koronavirus.gov.hu/,23/03/2020,
Hungary,04/03/2020,230,https://koronavirus.gov.hu/,Nemzeti Népegészségügyi Központ,04/03/2020,https://web.archive.org/web/20200304190022/https://koronavirus.gov.hu/,23/03/2020,
