Country;Date;TestNo;reference URL;publisher;publication date;archived URL;retrieved;Notes
Iceland;26/02/2020;41;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;27/02/2020;64;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;28/02/2020;77;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;29/02/2020;109;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;01/03/2020;131;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;02/03/2020;179;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;03/03/2020;224;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;04/03/2020;305;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;05/03/2020;367;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;06/03/2020;424;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;07/03/2020;482;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;08/03/2020;519;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;09/03/2020;617;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;10/03/2020;786;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;11/03/2020;935;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;12/03/2020;1188;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;13/03/2020;1545;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;14/03/2020;1868;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;15/03/2020;2943;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;16/03/2020;4650;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;17/03/2020;6050;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;18/03/2020;7878;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;19/03/2020;9189;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;20/03/2020;9768;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
Iceland;21/03/2020;10118;https://www.covid.is/tolulegar-upplysingar;Embætti landlæknis;23/03/2020;;;
