Country;Date;TestNo;reference URL;publisher;publication date;archived URL;retrieved;Notes
Latvia;23/03/2020;6114;https://arkartassituacija.gov.lv/;Slimibu profilakses un kontroles centrs;23/03/2020;;;
Latvia;22/03/2020;5127;https://twitter.com/SPKCentrs/status/1241683681783296002;Slimibu profilakses un kontroles centrs;22/03/2020;;;
Latvia;21/03/2020;4446;https://twitter.com/SPKCentrs/status/1241316138883133442;Slimibu profilakses un kontroles centrs;21/03/2020;;;
Latvia;20/03/2020;3205;https://twitter.com/SPKCentrs/status/1240917120713740288;Slimibu profilakses un kontroles centrs;20/03/2020;;;
Latvia;19/03/2020;2677;https://twitter.com/SPKCentrs/status/1240602607439265793;Slimibu profilakses un kontroles centrs;19/03/2020;;;
Latvia;18/03/2020;2144;https://arkartassituacija.gov.lv/;Slimibu profilakses un kontroles centrs;18/03/2020;https://web.archive.org/web/20200318181259/https://arkartassituacija.gov.lv/;23/03/2020;
Latvia;17/03/2020;1538;https://arkartassituacija.gov.lv/;Slimibu profilakses un kontroles centrs;17/03/2020;https://web.archive.org/web/20200317223925/https://arkartassituacija.gov.lv/;23/03/2020;
Latvia;16/03/2020;1147;https://arkartassituacija.gov.lv/;Slimibu profilakses un kontroles centrs;16/03/2020;https://web.archive.org/web/20200316195613/https://arkartassituacija.gov.lv/;23/03/2020;
Latvia;15/03/2020;910;https://arkartassituacija.gov.lv/;Slimibu profilakses un kontroles centrs;15/03/2020;https://web.archive.org/web/20200315171402/https://arkartassituacija.gov.lv/;23/03/2020;
Latvia;14/03/2020;666;https://arkartassituacija.gov.lv/;Slimibu profilakses un kontroles centrs;14/03/2020;https://web.archive.org/web/20200314180505/https://arkartassituacija.gov.lv/;23/03/2020;
Latvia;13/03/2020;408;https://arkartassituacija.gov.lv/;Slimibu profilakses un kontroles centrs;14/03/2020;https://web.archive.org/web/20200314180505/https://arkartassituacija.gov.lv/;23/03/2020;
