Country;Date;TestNo;reference URL;publisher;publication date;archived URL;retrieved;Notes
Romania;22/03/2020;9967;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-22-martie-ora-13-00/;Ministerul Afacerilor Interne;22/03/2020;;;
Romania;21/03/2020;8915;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-21-martie-ora-13-00/;Ministerul Afacerilor Interne;21/03/2020;;;
Romania;20/03/2020;8284;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-20-martie-ora-13-00/;Ministerul Afacerilor Interne;20/03/2020;;;
Romania;19/03/2020;4973;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-19-martie-ora-13-00/;Ministerul Afacerilor Interne;19/03/2020;;;
Romania;18/03/2020;4670;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-18-martie-ora-18-00/;Ministerul Afacerilor Interne;18/03/2020;;;
Romania;17/03/2020;4150;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-17-martie-ora-18-00/;Ministerul Afacerilor Interne;17/03/2020;;;
Romania;16/03/2020;3708;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-16-martie-ora-18-00/;Ministerul Afacerilor Interne;16/03/2020;;;
Romania;15/03/2020;3205;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-15-martie-ora-17-00/;Ministerul Afacerilor Interne;15/03/2020;;;
Romania;14/03/2020;2929;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-14-martie-ora-16-00/;Ministerul Afacerilor Interne;14/03/2020;;;
Romania;13/03/2020;2545;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-13-martie-ora-16-00/;Ministerul Afacerilor Interne;13/03/2020;;;
Romania;12/03/2020;1921;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-12-martie-ora-16-00/;Ministerul Afacerilor Interne;12/03/2020;;;
Romania;09/03/2020;1010;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-9-martie-ora-16-00/;Ministerul Afacerilor Interne;09/03/2020;;;
Romania;07/03/2020;809;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-7-martie-ora-17-00/;Ministerul Afacerilor Interne;07/03/2020;;;
Romania;06/03/2020;734;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-6-martie-2020-ora-16-00/;Ministerul Afacerilor Interne;06/03/2020;;;
Romania;05/03/2020;657;https://www.mai.gov.ro/buletin-de-presa-5-martie-ora-16-00/;Ministerul Afacerilor Interne;05/03/2020;;;
Romania;04/03/2020;579;https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-ora-17-00/;Ministerul Afacerilor Interne;04/03/2020;;;
Romania;03/03/2020;551;https://www.mai.gov.ro/buletin-informativ-03-martie-2020-ora-16-00/;Ministerul Afacerilor Interne;03/03/2020;;;
