Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
Slovakia,23/03/2020,3518,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,22/03/2020,3489,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,21/03/2020,3247,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,20/03/2020,2807,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,19/03/2020,2439,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,18/03/2020,2138,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,17/03/2020,1913,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,16/03/2020,1596,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,15/03/2020,1437,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,14/03/2020,1192,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,13/03/2020,983,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,12/03/2020,854,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,11/03/2020,808,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,10/03/2020,706,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,09/03/2020,590,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,08/03/2020,521,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,07/03/2020,445,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
Slovakia,06/03/2020,379,https://ezdravie.nczisk.sk/sk?category=COVID,Národné centrum zdravotníckych informácií,23/03/2020,,,
