Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
United Kingdom,22/03/2020 09.00,78340,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,22/03/2020,,,
United Kingdom,21/03/2020 09.00,72818,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,21/03/2020,https://web.archive.org/web/20200321211819/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,20/03/2020 09.00,66976,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,20/03/2020,https://web.archive.org/web/20200320201005/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,19/03/2020 09.00,64621,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,19/03/2020,https://web.archive.org/web/20200319181514/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,18/03/2020 09.00,56221,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,18/03/2020,https://web.archive.org/web/20200318163323/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,17/03/2020 09.00,50442,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,17/03/2020,https://web.archive.org/web/20200317145951/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,16/03/2020 09.00,44105,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,16/03/2020,https://web.archive.org/web/20200316141652/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,15/03/2020 09.00,40279,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,15/03/2020,https://web.archive.org/web/20200316063620/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,14/03/2020 09.00,37746,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,14/03/2020,https://web.archive.org/web/20200315140112/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,13/03/2020 09.00,32771,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,13/03/2020,https://web.archive.org/web/20200314022859/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,12/03/2020 09.00,29764,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,12/03/2020,https://web.archive.org/web/20200313012813/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,11/03/2020 09.00,27476,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,11/03/2020,https://web.archive.org/web/20200311221537/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
United Kingdom,10/03/2020 09.00,26261,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#number-of-cases,Gov.uk,10/03/2020,https://web.archive.org/web/20200310210005/https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public,23/03/2020,
