Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
Denmark,07/03/2020,912,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,08/03/2020,1136,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,09/03/2020,1706,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,10/03/2020,2501,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,11/03/2020,3371,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,12/03/2020,4032,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,13/03/2020,4721,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,14/03/2020,5293,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,15/03/2020,5990,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,16/03/2020,6967,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,17/03/2020,7872,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,18/03/2020,9033,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,19/03/2020,10814,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,20/03/2020,11916,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
Denmark,21/03/2020,12351,https://files.ssi.dk/COVID19-overvaagningsrapport-22032020,Statens serum institut,22/03/2020 08.00,,,
