Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
Faeroe Islands,21/03/2020,2077,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,20/03/2020,1940,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,19/03/2020,1638,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,18/03/2020,1322,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,17/03/2020,983,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,16/03/2020,703,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,15/03/2020,504,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,14/03/2020,331,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,13/03/2020,224,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,12/03/2020,117,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,11/03/2020,92,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,10/03/2020,86,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,09/03/2020,79,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,08/03/2020,75,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,07/03/2020,73,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,06/03/2020,67,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,05/03/2020,31,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,04/03/2020,26,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,03/03/2020,2,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
Faeroe Islands,28/02/2020,1,https://corona.fo/hagtol,Føroya Landsstýri,22/02/2020 22.00,,,
