Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
France,15/03/2020,36747,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,
France,14/03/2020,32615,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,13/03/2020,28498,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,12/03/2020,23685,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,11/03/2020,20153,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,10/03/2020,17549,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,10/03/2020,,,From graph. Old report https://www.santepubliquefrance.fr/content/download/236267/2530148
France,09/03/2020,14826,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,08/03/2020,12522,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,07/03/2020,10938,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,06/03/2020,9417,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,05/03/2020,7623,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,04/03/2020,6034,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,03/03/2020,4820,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,02/03/2020,3608,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,01/03/2020,2910,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,29/02/2020,2441,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,28/02/2020,1899,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,27/02/2020,1305,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,26/02/2020,848,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,25/02/2020,394,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
France,24/02/2020,132,https://www.santepubliquefrance.fr/content/download/237536/2535424,Santé publique,15/03/2020,,,From graph
