Country,Date,TestNo,reference URL,publisher,publication date,archived URL,retrieved,Notes
Portugal,23/03/2020,13674,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,22/03/2020,11779,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,21/03/2020,9854,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,20/03/2020,7732,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,19/03/2020,6061,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,18/03/2020,5067,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,17/03/2020,4030,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,16/03/2020,2908,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,15/03/2020,2271,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,14/03/2020,1704,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,13/03/2020,1308,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,12/03/2020,637,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,11/03/2020,471,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,10/03/2020,375,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,09/03/2020,339,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,08/03/2020,281,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,07/03/2020,224,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,06/03/2020,181,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,05/03/2020,147,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,04/03/2020,117,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,03/03/2020,101,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,02/03/2020,85,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,01/03/2020,85,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,29/02/2020,70,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,28/02/2020,59,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,27/02/2020,51,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
Portugal,28/02/2020,25,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/,Ministério da Saúde,23/03/2020,,,
